horodateur,statut_etudiant,annee_etudes,genre,type_commune,niveau_parents,type_bac,mention_bac,filiere,frequence_psyen,motivation_brut,ia_formation,ia_metiers,info_percue,conseil_adapte,preparation_emploi,reoriente,reorientation_brut,raison_reorientation,regret_reorientation,motivation_descriptive,motivation_regression,reorientation_annee,reorientation_niveau,reoriente_bin,ia_formation_bin,ia_metiers_bin,jeune_actif
18/04/2026 10:35:08,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
18/04/2026 11:24:40,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,4,4,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
18/04/2026 11:45:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Aucune source structurée / au hasard,Non,Non,1,1,1,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,NA,0,0,0,0
18/04/2026 11:59:51,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,3,2,5,"Oui, une fois",5e,Inadéquation avec mes aspirations profondes,1,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,M2,1,0,0,0
18/04/2026 14:10:28,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,1,1,0
18/04/2026 14:20:48,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,2,2,1,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
18/04/2026 15:49:36,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,1,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,1,0
18/04/2026 16:35:54,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,"Santé (médecine, pharmacie, kiné, infirmier…)",Jamais,Journées portes ouvertes / salons,Non,Non,3,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
18/04/2026 16:53:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,Jamais,Aucune source structurée / au hasard,Non,Non,3,2,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,NA,0,0,0,0
18/04/2026 16:55:14,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
18/04/2026 16:57:53,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",3,3,4,"Oui, une fois",L2,Inadéquation avec mes aspirations profondes,1,Famille / entourage / réseau,Famille / entourage / réseau,NA,L2,1,0,1,0
18/04/2026 16:59:44,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,2,2,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
18/04/2026 17:36:42,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Bien,École de commerce / management,Jamais,Famille / entourage / réseau,Non,Non,3,2,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
18/04/2026 21:11:25,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,Jamais,Professeur.es,Non,Non,2,4,3,"Oui, une fois",M1,Autre,2,Professeurs du lycée,Autre,NA,M1,1,0,0,0
18/04/2026 22:19:37,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Passable / Sans mention,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,Non,Non,2,3,1,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
18/04/2026 23:28:11,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,À l'étranger,Bac+5 et plus,Bac général,Bien,École de commerce / management,2 à 3 fois,Famille / entourage / réseau,Non,Non,4,4,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
19/04/2026 08:08:37,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Droit / Science politique,1 fois,Famille / entourage / réseau,Non,Non,3,4,4,"Oui, une fois",2021,Inadéquation avec mes aspirations profondes,5,Famille / entourage / réseau,Famille / entourage / réseau,2021,NA,1,0,0,0
19/04/2026 10:33:48,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Autre,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Aucune source structurée / au hasard,Non,"Oui, en complément d'autres démarches",2,2,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,NA,0,0,1,0
19/04/2026 11:25:52,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Bien,"Santé (médecine, pharmacie, kiné, infirmier…)",Jamais,Journées portes ouvertes / salons,Non,Non,4,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
19/04/2026 11:28:46,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,1,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
19/04/2026 19:17:45,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,3,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
19/04/2026 19:29:04,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,CAP / BEP,Bac professionnel,Bien,Sciences / Mathématiques / Informatique,Jamais,NA,Non,"Oui, en complément d'autres démarches",1,1,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,NA,NA,NA,NA,0,0,1,0
19/04/2026 19:38:21,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,École de commerce / management,1 fois,Professeur,"Oui, en complément d'autres démarches",Non,4,4,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Professeurs du lycée,Autre,NA,NA,0,1,0,0
19/04/2026 20:27:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,École d'ingénieurs,Jamais,Famille / entourage / réseau,Non,Non,4,4,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
19/04/2026 20:30:49,Non,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Baccalauréat,Bac général,Très bien / Félicitations,École d'ingénieurs,2 à 3 fois,Manuel scolaire,Non,Non,2,3,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Autre,Autre,NA,NA,0,0,0,1
19/04/2026 21:52:43,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),CAP / BEP,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,Jamais,Professeurs,Non,Non,2,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Professeurs du lycée,Autre,NA,NA,0,0,0,0
19/04/2026 22:12:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,École de commerce / management,Jamais,"Mes goûts, mathématiques et géopolitiques",Non,Non,1,2,3,"Oui, une fois",3,Autre,5,Motivation personnelle / passion,Autre,NA,L3,1,0,0,0
19/04/2026 23:54:21,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Assez bien,Droit / Science politique,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,3,2,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,NA,0,0,0,0
20/04/2026 07:43:13,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,4,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,1,1,0
20/04/2026 10:36:02,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,1 fois,Famille / entourage / réseau,Non,Non,2,3,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
20/04/2026 10:49:20,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",2,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,NA,0,0,1,0
20/04/2026 10:56:14,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,Non,3,3,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,NA,0,0,0,0
20/04/2026 11:06:31,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Assez bien,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,2,1,1,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
20/04/2026 11:07:10,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,École de commerce / management,1 fois,Famille / entourage / réseau,Non,"Oui, en complément d'autres démarches",2,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,1,0
20/04/2026 11:55:21,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Droit / Science politique,1 fois,Famille / entourage / réseau,Non,Non,4,3,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
20/04/2026 11:55:35,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,2,3,2,"Oui, plusieurs fois",L3 et M1,Inadéquation avec mes aspirations profondes,4,Famille / entourage / réseau,Famille / entourage / réseau,NA,L3,1,0,0,0
20/04/2026 12:03:23,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Sciences / Mathématiques / Informatique,Jamais,Famille / entourage / réseau,Non,Non,5,4,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
20/04/2026 12:37:40,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,École d'art / design / architecture,Jamais,Famille / entourage / réseau,Non,Non,5,5,5,"Oui, une fois",Fin de la L2,Difficulté académique,2,Famille / entourage / réseau,Famille / entourage / réseau,NA,L2,1,0,0,0
20/04/2026 13:17:45,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Bien,"Santé (médecine, pharmacie, kiné, infirmier…)",Jamais,Journées portes ouvertes / salons,Non,Non,4,3,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
20/04/2026 17:01:59,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,École de commerce / management,Jamais,Journées portes ouvertes / salons,Non,Non,3,2,4,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,NA,0,0,0,0
20/04/2026 18:26:46,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,Lettres / Sciences humaines / Sciences sociales,Jamais,Famille / entourage / réseau,Non,Non,3,3,4,"Oui, une fois",Pour le master,Mauvaise connaissance de la formation avant d'y entrer,2,Famille / entourage / réseau,Famille / entourage / réseau,NA,Post-L3,1,0,0,0
20/04/2026 23:24:32,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Baccalauréat,Bac général,Assez bien,École de commerce / management,1 fois,Famille / entourage / réseau,Non,Non,3,3,5,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
21/04/2026 08:24:11,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Famille / entourage / réseau,Non,Non,4,3,4,"Oui, une fois",L3,Autre,1,Famille / entourage / réseau,Famille / entourage / réseau,NA,L3,1,0,0,0
23/04/2026 21:26:57,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Paris intramuros,Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,4,4,4,"Oui, une fois",CPGE scientifique à Université via le concours BECEAS. Donc L3. C'est pas exactement une réorientation mais le métier d'actuaire est différent de celui d'ingénieur.,Inadéquation avec mes aspirations profondes,1,Famille / entourage / réseau,Famille / entourage / réseau,NA,L3,1,0,0,0
28/04/2026 11:32:20,Oui,L1 / BTS 1 / BUT 1,Femme,À l'étranger,Bac+5 et plus,Bac général,Assez bien,Droit / Science politique,2 à 3 fois,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,4,3,"Oui, une fois",Après un diplôme,Autre,3,Famille / entourage / réseau,Famille / entourage / réseau,NA,Post-L3,1,1,1,0
28/04/2026 11:59:48,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Assez bien,Économie / Gestion / Commerce,Jamais,Journées portes ouvertes / salons,Non,Non,4,4,4,"Oui, une fois",Après la L3,Autre,3,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,L3,1,0,0,0
28/04/2026 12:33:04,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Bien,École d'ingénieurs,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",4,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,NA,0,0,1,0
28/04/2026 12:55:14,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Aucun diplôme / Brevet,Bac général,Assez bien,Économie / Gestion / Commerce,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",5,5,3,"Oui, plusieurs fois",2022,Inadéquation avec mes aspirations profondes,2,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",2022,NA,1,0,1,0
28/04/2026 13:00:27,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Grande ville / Métropole,Bac+2 / Bac+3,Bac général,Assez bien,École d'art / design / architecture,Jamais,Aucune source structurée / au hasard,Non,Non,4,4,3,"Oui, une fois",4eme,Inadéquation avec mes aspirations profondes,1,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,M1,1,0,0,0
28/04/2026 13:08:39,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Bac général,Bien,École de commerce / management,1 fois,Famille / entourage / réseau,Non,Non,3,3,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
28/04/2026 13:46:44,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Ville moyenne (20 000 – 200 000 hab.),Bac+5 et plus,Bac général,Passable / Sans mention,Sciences / Mathématiques / Informatique,1 fois,Famille / entourage / réseau,Non,Non,3,4,3,"Oui, plusieurs fois",Lors de mon passage de 2eme à 3 ème annee,Autre,1,Famille / entourage / réseau,Famille / entourage / réseau,NA,L3,1,0,0,0
28/04/2026 13:56:49,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Grande ville / Métropole,Bac+5 et plus,Autre,Très bien / Félicitations,École de commerce / management,Plus de 3 fois,Aucune source structurée / au hasard,Non,Non,3,3,4,"Oui, une fois",3eme,Inadéquation avec mes aspirations profondes,2,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,L3,1,0,0,0
28/04/2026 14:36:52,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Assez bien,Économie / Gestion / Commerce,1 fois,Journées portes ouvertes / salons,Non,Non,3,5,5,"Oui, une fois",L1,Inadéquation avec mes aspirations profondes,4,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,L1,1,0,0,0
28/04/2026 14:38:09,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,À l'étranger,Aucun diplôme / Brevet,Autre,Autre,Lettres / Sciences humaines / Sciences sociales,Jamais,Famille / entourage / réseau,Non,Non,3,3,3,"Oui, une fois",M1,Autre,2,Famille / entourage / réseau,Famille / entourage / réseau,NA,M1,1,0,0,0
28/04/2026 14:39:45,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Paris intramuros,Bac+5 et plus,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Famille / entourage / réseau,Non,Non,2,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,0,0,0
28/04/2026 15:49:51,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Économie / Gestion / Commerce,Jamais,Aucune source structurée / au hasard,Non,"Oui, en complément d'autres démarches",3,4,3,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Aucune source structurée / au hasard,Aucune source structurée / au hasard,NA,NA,0,0,1,0
28/04/2026 16:04:20,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Droit / Science politique,Jamais,Famille / entourage / réseau,"Oui, en complément d'autres démarches","Oui, en complément d'autres démarches",3,3,2,"Non, je suis toujours dans ma formation initiale",NA,NA,NA,Famille / entourage / réseau,Famille / entourage / réseau,NA,NA,0,1,1,0
28/04/2026 16:05:59,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Homme,Petite ville (2 000 – 20 000 hab.),Bac+5 et plus,Bac général,Bien,École d'ingénieurs,Jamais,"Internet (hors IA) — forums, sites officiels",Non,"Oui, en complément d'autres démarches",2,3,2,"Oui, une fois",L2,Mauvaise connaissance de la formation avant d'y entrer,4,"Internet (hors IA) — forums, sites officiels","Internet (hors IA) — forums, sites officiels",NA,L2,1,0,1,0
28/04/2026 16:07:06,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Non binaire,Petite ville (2 000 – 20 000 hab.),Bac+2 / Bac+3,Bac général,Très bien / Félicitations,Lettres / Sciences humaines / Sciences sociales,1 fois,Profs,Non,Non,2,5,2,"Oui, une fois",2023-2024,Autre,1,Professeurs du lycée,Autre,2023,NA,1,0,0,0
28/04/2026 16:26:17,Oui,L2 / L3 / BUT 2-3 / BTS 2 / M1 / M2 / École (bac+3 et +) / Autre,Femme,Ville moyenne (20 000 – 200 000 hab.),CAP / BEP,Bac général,Bien,Économie / Gestion / Commerce,1 fois,Journées portes ouvertes / salons,Non,Non,3,3,3,"Oui, une fois",L1,Mauvaise connaissance de la formation avant d'y entrer,4,Journées portes ouvertes / salons,Journées portes ouvertes / salons,NA,L1,1,0,0,0
